seq,n_ann,duration_s,ann_per_s,mean_area_pct,tiny_pct,small_pct,medium_pct,cx_std,cy_std,spatial_spread,split,train_score,val_score
sequence_32,4469,106.3,42.0,0.2872,67.3,31.3,1.3,0.194,0.119,0.313,train,0.913,0.558
sequence_113,2828,108.8,26.0,0.2406,77.1,22.1,0.8,0.211,0.17,0.382,train,0.912,0.5
sequence_35,5639,107.5,52.5,0.4153,52.5,40.6,6.9,0.208,0.104,0.312,train,0.912,0.665
sequence_212,6769,114.9,58.9,0.4051,27.8,71.7,0.5,0.187,0.124,0.311,train,0.911,0.65
sequence_33,5769,108.1,53.4,0.433,51.7,41.2,7.2,0.216,0.094,0.31,train,0.91,0.692
sequence_111,2826,99.5,28.4,0.4658,28.5,67.2,4.4,0.181,0.145,0.326,test,0.903,0.677
sequence_31,3109,104.7,29.7,0.3266,66.2,30.5,3.3,0.199,0.102,0.301,train,0.901,0.587
sequence_24,3113,107.0,29.1,0.2692,71.2,27.8,1.1,0.179,0.123,0.303,train,0.896,0.544
sequence_27,2968,105.5,28.1,0.2979,70.1,27.8,2.1,0.193,0.107,0.3,train,0.895,0.561
sequence_214,6288,110.8,56.7,0.5267,25.5,68.2,6.3,0.168,0.125,0.293,train,0.893,0.7
sequence_53,2836,104.4,27.2,0.2225,82.4,17.0,0.6,0.202,0.195,0.397,train,0.892,0.535
sequence_211,6414,110.4,58.1,0.3633,47.8,50.6,1.7,0.19,0.099,0.289,train,0.889,0.615
sequence_29,2860,104.4,27.4,0.3235,65.2,30.6,4.1,0.192,0.113,0.306,test,0.887,0.566
sequence_17,2800,101.4,27.6,0.3599,62.2,34.0,3.8,0.176,0.136,0.312,train,0.885,0.586
sequence_107,2950,102.2,28.9,0.4166,39.9,54.8,5.3,0.158,0.133,0.29,train,0.883,0.661
sequence_110,2831,101.0,28.0,0.2973,64.6,34.9,0.6,0.172,0.133,0.304,test,0.881,0.543
sequence_2,3016,105.1,28.7,0.265,80.5,16.8,2.6,0.201,0.147,0.349,train,0.878,0.541
sequence_25,2825,106.4,26.6,0.2936,70.9,27.3,1.8,0.202,0.105,0.307,train,0.878,0.539
sequence_61,5583,108.2,51.6,0.2062,84.2,15.7,0.1,0.217,0.155,0.371,train,0.876,0.594
sequence_43,2134,98.6,21.6,0.2837,71.3,27.0,1.6,0.33,0.149,0.479,train,0.875,0.44
sequence_64,5586,107.1,52.1,0.2152,82.2,16.7,1.1,0.167,0.188,0.355,test,0.874,0.573
sequence_10,2770,93.9,29.5,0.2154,83.2,16.8,0.0,0.242,0.145,0.387,train,0.868,0.542
sequence_30,2798,104.8,26.7,0.3101,68.9,27.1,4.0,0.193,0.1,0.293,train,0.866,0.548
sequence_65,5671,109.4,51.8,0.1751,90.2,9.6,0.2,0.225,0.178,0.404,test,0.865,0.664
sequence_213,6900,119.1,58.0,0.4973,22.3,73.5,4.2,0.163,0.101,0.264,train,0.864,0.7
sequence_216,6682,118.1,56.6,0.4228,41.2,55.1,3.7,0.154,0.11,0.264,train,0.864,0.677
sequence_26,2634,101.2,26.0,0.3231,67.8,29.1,3.0,0.223,0.088,0.311,train,0.862,0.536
sequence_108,2829,107.1,26.4,0.3619,51.8,45.5,2.8,0.182,0.102,0.284,train,0.861,0.591
sequence_188,3066,104.0,29.5,0.6249,2.2,93.5,4.4,0.066,0.194,0.261,train,0.861,0.7
sequence_93,3187,106.2,30.0,0.233,76.7,21.9,1.5,0.187,0.116,0.303,test,0.859,0.533
sequence_39,2490,98.8,25.2,0.2121,81.2,18.4,0.4,0.283,0.162,0.444,test,0.857,0.512
sequence_109,3156,105.2,30.0,0.3573,44.7,53.8,1.5,0.127,0.13,0.257,train,0.857,0.61
sequence_22,2813,98.5,28.6,0.2722,72.8,25.1,2.0,0.159,0.14,0.298,train,0.854,0.522
sequence_228,3429,116.4,29.5,0.2743,78.5,19.5,2.0,0.182,0.125,0.308,train,0.851,0.548
sequence_28,2624,97.7,26.9,0.3628,59.5,35.9,4.6,0.211,0.089,0.3,train,0.85,0.564
sequence_195,1977,110.5,17.9,0.9229,1.1,66.1,32.8,0.154,0.231,0.385,test,0.849,0.564
sequence_141,2859,105.3,27.1,0.2469,77.2,21.8,0.9,0.167,0.148,0.315,train,0.848,0.509
sequence_40,2147,98.8,21.7,0.2473,75.7,23.2,1.1,0.285,0.156,0.441,train,0.848,0.414
sequence_92,3088,106.9,28.9,0.237,72.2,27.8,0.0,0.163,0.099,0.262,train,0.847,0.524
sequence_55,2963,106.9,27.7,0.1908,87.2,12.6,0.2,0.173,0.192,0.366,train,0.846,0.623
sequence_94,2893,105.8,27.4,0.1794,91.2,8.2,0.7,0.215,0.207,0.421,train,0.845,0.64
sequence_9,2963,99.5,29.8,0.205,84.6,14.2,1.1,0.221,0.126,0.347,test,0.844,0.592
sequence_83,2872,107.6,26.7,0.1866,91.1,8.7,0.2,0.23,0.176,0.406,test,0.842,0.621
sequence_91,3032,101.8,29.8,0.2798,71.5,26.3,2.2,0.156,0.094,0.25,train,0.84,0.552
sequence_63,4860,96.2,50.5,0.2106,91.0,8.3,0.7,0.198,0.181,0.379,test,0.839,0.584
sequence_16,2335,84.8,27.5,0.3723,56.7,39.2,4.1,0.217,0.112,0.328,train,0.839,0.533
sequence_125,3071,111.1,27.6,0.155,93.0,6.2,0.8,0.246,0.145,0.391,train,0.838,0.709
sequence_62,5061,100.7,50.3,0.1876,90.9,9.0,0.1,0.216,0.16,0.376,train,0.837,0.636
sequence_114,2809,107.1,26.2,0.2056,86.8,12.2,1.0,0.199,0.17,0.369,test,0.832,0.57
sequence_81,2903,107.1,27.1,0.2058,90.7,9.3,0.1,0.194,0.186,0.38,train,0.83,0.582
sequence_102,3025,105.7,28.6,0.1526,92.4,7.4,0.2,0.245,0.132,0.377,train,0.828,0.714
sequence_73,3009,106.9,28.1,0.1603,91.0,8.8,0.2,0.207,0.16,0.367,train,0.827,0.697
sequence_82,2647,107.4,24.6,0.1895,89.0,10.9,0.2,0.217,0.184,0.402,train,0.827,0.584
sequence_159,2358,84.4,27.9,0.2636,70.7,27.7,1.7,0.216,0.1,0.316,train,0.826,0.454
sequence_42,2166,98.8,21.9,0.2342,79.4,19.9,0.7,0.3,0.164,0.464,train,0.826,0.42
sequence_58,3006,108.0,27.8,0.1464,96.4,3.5,0.1,0.247,0.187,0.434,train,0.824,0.728
sequence_210,3076,111.6,27.6,0.4606,35.0,61.5,3.5,0.135,0.084,0.219,test,0.819,0.7
sequence_230,3542,118.0,30.0,0.2237,83.3,16.1,0.6,0.214,0.092,0.306,test,0.817,0.554
sequence_37,2096,91.0,23.0,0.216,79.3,20.1,0.5,0.281,0.193,0.474,train,0.817,0.451
sequence_52,3012,107.3,28.1,0.1646,92.3,7.6,0.1,0.212,0.153,0.365,train,0.816,0.687
sequence_38,2051,103.3,19.9,0.2212,78.6,20.3,1.0,0.259,0.169,0.428,train,0.815,0.433
sequence_88,3264,109.5,29.8,0.1328,96.9,2.9,0.1,0.201,0.195,0.395,train,0.815,0.759
sequence_104,2949,107.3,27.5,0.1444,97.2,2.6,0.2,0.227,0.172,0.399,train,0.811,0.726
sequence_59,3175,107.1,29.7,0.1932,92.2,7.0,0.9,0.235,0.122,0.357,train,0.81,0.623
sequence_41,2265,96.9,23.4,0.1898,84.2,15.7,0.1,0.269,0.153,0.421,test,0.807,0.533
sequence_50,6397,109.9,58.2,0.2599,77.9,19.8,2.4,0.118,0.14,0.258,train,0.806,0.537
sequence_112,2879,103.6,27.8,0.1869,90.1,9.5,0.4,0.184,0.171,0.354,train,0.804,0.621
sequence_48,6015,108.0,55.7,0.2087,87.9,11.4,0.7,0.156,0.166,0.322,train,0.803,0.588
sequence_75,2996,109.0,27.5,0.1211,99.1,0.9,0.0,0.227,0.167,0.394,train,0.799,0.785
sequence_14,2658,98.3,27.0,0.2132,83.5,15.4,1.1,0.182,0.149,0.332,train,0.796,0.532
sequence_78,2961,104.8,28.3,0.1281,98.1,1.9,0.0,0.221,0.167,0.388,train,0.795,0.764
sequence_74,3094,104.6,29.6,0.1454,94.8,4.9,0.3,0.195,0.164,0.359,train,0.794,0.731
sequence_89,3234,108.9,29.7,0.1141,98.9,1.1,0.0,0.229,0.155,0.384,train,0.791,0.801
sequence_54,3027,106.7,28.4,0.1591,92.6,7.3,0.2,0.197,0.143,0.34,train,0.79,0.7
sequence_6,3065,104.7,29.3,0.247,83.8,14.3,2.0,0.196,0.085,0.281,train,0.79,0.528
sequence_99,3105,107.4,28.9,0.1197,99.2,0.8,0.0,0.228,0.154,0.382,train,0.787,0.788
sequence_222,3350,111.6,30.0,0.2271,76.8,23.2,0.0,0.141,0.09,0.231,train,0.786,0.547
sequence_69,3004,109.1,27.5,0.1305,96.4,3.6,0.1,0.201,0.16,0.361,train,0.786,0.764
sequence_177,2262,116.1,19.5,0.3257,71.3,23.2,5.5,0.103,0.189,0.292,train,0.785,0.488
sequence_209,3117,114.7,27.2,0.2242,82.1,17.1,0.8,0.113,0.153,0.266,train,0.785,0.553
sequence_76,3118,107.7,29.0,0.1156,98.0,2.0,0.0,0.223,0.147,0.37,train,0.783,0.798
sequence_79,2970,109.1,27.2,0.1264,99.1,0.9,0.0,0.224,0.154,0.379,train,0.781,0.769
sequence_95,2807,105.3,26.6,0.1393,96.1,3.9,0.0,0.214,0.167,0.381,train,0.781,0.719
sequence_8,2818,96.6,29.2,0.1956,88.0,11.9,0.1,0.23,0.094,0.324,test,0.78,0.593
sequence_203,2069,73.7,28.1,0.2502,79.8,20.2,0.0,0.187,0.182,0.369,train,0.78,0.406
sequence_105,3276,109.2,30.0,0.1837,96.9,3.1,0.0,0.221,0.136,0.358,train,0.779,0.644
sequence_208,3188,116.4,27.4,0.226,80.3,19.6,0.1,0.149,0.099,0.248,train,0.779,0.549
sequence_98,3081,107.0,28.8,0.1256,98.2,1.8,0.0,0.225,0.142,0.367,train,0.779,0.775
sequence_118,3136,110.6,28.4,0.1996,86.5,11.5,2.0,0.188,0.1,0.287,train,0.777,0.609
sequence_66,2912,100.0,29.1,0.1369,95.8,4.1,0.0,0.206,0.155,0.361,train,0.777,0.738
sequence_68,6300,113.3,55.6,0.1533,92.4,7.0,0.6,0.184,0.142,0.326,train,0.777,0.713
sequence_84,3082,107.7,28.6,0.1408,94.5,5.4,0.1,0.138,0.202,0.34,train,0.777,0.741
sequence_190,2438,105.7,23.1,0.7499,0.3,83.1,16.6,0.07,0.18,0.25,train,0.775,0.625
sequence_77,2719,102.0,26.6,0.1377,96.9,2.9,0.2,0.238,0.153,0.391,train,0.774,0.71
sequence_13,2890,105.0,27.5,0.206,85.2,14.3,0.6,0.202,0.086,0.288,train,0.773,0.58
sequence_193,1301,89.1,14.6,0.8419,0.0,72.8,27.2,0.186,0.259,0.444,train,0.773,0.473
sequence_143,2413,85.5,28.2,0.2097,88.6,11.4,0.0,0.163,0.21,0.373,train,0.771,0.508
sequence_49,6281,109.5,57.3,0.1684,91.5,8.5,0.0,0.144,0.167,0.312,train,0.769,0.679
sequence_181,3265,113.3,28.8,0.1902,88.3,11.7,0.0,0.169,0.122,0.29,train,0.768,0.63
sequence_180,3273,110.9,29.5,0.1829,92.0,8.0,0.0,0.189,0.125,0.314,train,0.767,0.646
sequence_144,2579,108.4,23.8,0.214,87.4,10.4,2.2,0.154,0.183,0.336,train,0.764,0.52
sequence_100,3169,107.9,29.4,0.121,99.1,0.9,0.0,0.204,0.152,0.356,train,0.762,0.785
sequence_72,3141,105.1,29.9,0.1561,93.0,6.9,0.1,0.171,0.143,0.314,train,0.761,0.706
sequence_80,2885,106.6,27.1,0.1209,98.5,1.4,0.1,0.215,0.148,0.363,test,0.758,0.77
sequence_115,2769,105.8,26.2,0.1112,99.1,0.8,0.1,0.191,0.191,0.382,test,0.757,0.777
sequence_71,3020,101.3,29.8,0.1357,97.4,2.6,0.0,0.195,0.145,0.34,train,0.757,0.752
sequence_176,3169,108.8,29.1,0.5705,74.6,15.5,9.9,0.07,0.117,0.187,train,0.756,0.7
sequence_57,2532,107.4,23.6,0.1417,97.3,2.4,0.2,0.244,0.188,0.433,train,0.755,0.676
sequence_103,2928,102.2,28.6,0.1249,98.0,2.0,0.0,0.2,0.147,0.347,train,0.751,0.767
sequence_178,2972,114.1,26.1,0.3579,70.6,26.4,3.0,0.048,0.108,0.156,test,0.748,0.607
sequence_145,2548,104.4,24.4,0.1787,82.8,15.1,2.1,0.216,0.078,0.294,train,0.748,0.595
sequence_182,3125,117.0,26.7,0.258,85.0,11.9,3.1,0.105,0.143,0.248,train,0.748,0.536
sequence_56,2585,108.0,23.9,0.1501,95.9,3.7,0.3,0.166,0.211,0.377,train,0.748,0.665
sequence_168,2920,111.5,26.2,0.2891,79.9,16.8,3.3,0.11,0.112,0.223,train,0.746,0.548
sequence_23,2711,105.2,25.8,0.1894,86.1,12.3,1.6,0.158,0.134,0.292,train,0.746,0.593
sequence_70,2649,104.5,25.3,0.1382,96.6,3.4,0.0,0.195,0.173,0.368,train,0.744,0.7
sequence_120,3414,121.0,28.2,0.1375,96.2,3.7,0.1,0.223,0.095,0.318,train,0.743,0.748
sequence_154,3100,106.4,29.1,0.1991,81.8,15.7,2.5,0.112,0.107,0.22,test,0.741,0.61
sequence_96,2853,100.0,28.5,0.1245,99.2,0.8,0.0,0.205,0.15,0.355,train,0.741,0.758
sequence_162,3117,108.7,28.7,0.1778,89.3,10.5,0.3,0.183,0.085,0.268,test,0.74,0.658
sequence_90,2975,99.5,29.9,0.1047,98.4,1.6,0.0,0.209,0.123,0.331,test,0.738,0.819
sequence_67,2881,102.4,28.1,0.127,97.4,2.6,0.0,0.184,0.153,0.337,train,0.738,0.756
sequence_126,2433,117.4,20.7,0.1627,90.2,9.7,0.2,0.207,0.137,0.344,train,0.734,0.616
sequence_189,2206,86.8,25.4,0.7626,4.5,83.6,11.9,0.06,0.178,0.238,train,0.732,0.594
sequence_223,3389,112.9,30.0,0.1646,86.7,13.3,0.0,0.104,0.136,0.24,test,0.729,0.687
sequence_155,3246,112.3,28.9,0.1824,82.6,17.4,0.0,0.168,0.043,0.211,train,0.727,0.647
sequence_85,3134,108.3,28.9,0.1317,97.8,2.2,0.1,0.128,0.183,0.311,train,0.726,0.761
sequence_134,2998,99.9,30.0,0.1358,91.0,8.8,0.2,0.152,0.111,0.263,train,0.723,0.752
sequence_192,1580,104.8,15.1,0.6366,1.3,91.9,6.8,0.121,0.19,0.312,train,0.723,0.511
sequence_97,2465,83.9,29.4,0.134,96.6,3.4,0.0,0.2,0.164,0.364,train,0.715,0.685
sequence_142,2722,95.8,28.4,0.1766,89.1,9.1,1.8,0.144,0.132,0.276,test,0.712,0.623
sequence_160,2865,103.8,27.6,0.267,90.3,7.9,1.8,0.192,0.073,0.265,train,0.712,0.525
sequence_51,5553,100.2,55.4,0.1774,94.7,5.2,0.1,0.117,0.157,0.274,test,0.709,0.659
sequence_101,2822,96.8,29.2,0.1263,98.0,1.8,0.1,0.205,0.114,0.319,train,0.708,0.75
sequence_185,3459,117.6,29.4,0.1638,95.0,5.0,0.0,0.09,0.184,0.275,train,0.708,0.689
sequence_86,3094,104.7,29.5,0.1289,95.7,4.3,0.0,0.129,0.141,0.27,train,0.699,0.768
sequence_4,2975,103.1,28.9,0.1722,92.4,7.2,0.4,0.185,0.066,0.251,train,0.698,0.667
sequence_131,3021,108.2,27.9,0.1059,97.4,2.0,0.7,0.21,0.067,0.276,train,0.694,0.819
sequence_133,2426,110.1,22.0,0.2679,80.5,15.8,3.7,0.136,0.104,0.241,train,0.694,0.467
sequence_123,2124,75.5,28.1,0.1631,90.9,9.0,0.0,0.248,0.101,0.348,train,0.691,0.574
sequence_0,1790,97.5,18.4,0.1955,89.2,10.3,0.5,0.242,0.134,0.376,train,0.687,0.456
sequence_1,2349,112.1,21.0,0.1581,94.5,5.5,0.0,0.196,0.14,0.336,train,0.686,0.615
sequence_121,3252,112.2,29.0,0.1247,98.2,1.8,0.0,0.201,0.07,0.271,train,0.683,0.777
sequence_130,3156,110.5,28.6,0.1036,98.7,1.3,0.0,0.175,0.096,0.271,train,0.68,0.825
sequence_124,2744,94.1,29.2,0.1239,97.0,3.0,0.0,0.213,0.08,0.292,train,0.678,0.745
sequence_149,2731,97.4,28.0,0.1215,95.5,4.2,0.2,0.174,0.111,0.285,train,0.678,0.748
sequence_184,3033,109.8,27.6,0.1477,95.1,4.9,0.0,0.126,0.117,0.243,train,0.676,0.725
sequence_202,3155,105.1,30.0,0.1628,88.6,11.4,0.0,0.101,0.099,0.199,test,0.675,0.691
sequence_229,3316,110.5,30.0,0.1009,98.6,1.4,0.0,0.154,0.108,0.263,train,0.672,0.831
sequence_196,2225,106.3,20.9,0.2009,90.0,6.9,3.1,0.194,0.114,0.308,test,0.671,0.502
sequence_119,2670,81.2,32.9,0.1706,91.3,8.7,0.0,0.161,0.092,0.253,train,0.667,0.63
sequence_224,3366,112.2,30.0,0.171,85.0,15.0,0.0,0.09,0.077,0.167,train,0.667,0.673
sequence_205,3105,112.8,27.5,0.1662,91.4,8.6,0.0,0.119,0.089,0.209,train,0.666,0.684
sequence_135,2433,112.0,21.7,0.0914,98.0,1.2,0.7,0.21,0.112,0.322,train,0.659,0.776
sequence_11,3055,101.8,30.0,0.1255,99.9,0.1,0.0,0.093,0.159,0.253,train,0.654,0.775
sequence_187,2958,113.0,26.2,0.1454,98.9,0.7,0.4,0.126,0.124,0.25,test,0.652,0.725
sequence_136,2847,99.5,28.6,0.1549,95.8,2.1,2.0,0.122,0.124,0.245,train,0.652,0.689
sequence_227,3182,106.0,30.0,0.1481,90.9,9.1,0.0,0.084,0.105,0.189,train,0.65,0.724
sequence_157,2656,102.3,26.0,0.1639,92.4,7.2,0.5,0.17,0.073,0.244,train,0.649,0.643
sequence_132,3070,111.8,27.5,0.1141,94.8,4.8,0.4,0.15,0.064,0.213,train,0.648,0.801
sequence_199,3302,110.0,30.0,0.1544,94.9,5.1,0.0,0.146,0.067,0.213,train,0.647,0.71
sequence_191,335,33.0,10.2,1.4247,0.0,19.7,80.3,0.313,0.203,0.516,train,0.645,0.345
sequence_172,3381,114.8,29.5,0.2386,85.2,13.8,1.1,0.055,0.09,0.145,train,0.644,0.521
sequence_207,3198,110.9,28.8,0.1522,94.2,5.8,0.0,0.123,0.082,0.205,train,0.644,0.715
sequence_161,3152,108.9,28.9,0.1595,94.5,5.2,0.3,0.142,0.064,0.206,train,0.643,0.699
sequence_12,1930,99.9,19.3,0.1873,92.2,7.7,0.1,0.163,0.166,0.33,test,0.639,0.494
sequence_197,1004,49.1,20.4,0.3858,37.7,60.2,2.1,0.161,0.144,0.305,train,0.639,0.366
sequence_3,2867,95.5,30.0,0.1454,98.0,1.8,0.2,0.167,0.076,0.243,train,0.639,0.713
sequence_117,2446,116.4,21.0,0.1158,98.4,1.5,0.1,0.183,0.116,0.3,train,0.637,0.723
sequence_147,3369,112.3,30.0,0.0879,98.4,1.5,0.1,0.14,0.085,0.225,train,0.636,0.86
sequence_217,1383,48.2,28.7,0.2622,65.6,34.4,0.0,0.176,0.074,0.25,test,0.634,0.323
sequence_221,3364,113.9,29.5,0.1584,89.6,10.4,0.0,0.088,0.073,0.16,train,0.629,0.701
sequence_163,2883,97.7,29.5,0.1432,95.8,4.2,0.0,0.135,0.081,0.216,test,0.628,0.72
sequence_204,3293,119.9,27.5,0.161,94.6,5.4,0.0,0.125,0.065,0.19,train,0.626,0.695
sequence_87,2613,87.1,30.0,0.1164,98.8,1.2,0.0,0.132,0.138,0.27,train,0.626,0.744
sequence_137,2097,108.5,19.3,0.1205,95.2,4.6,0.2,0.18,0.126,0.306,train,0.618,0.666
sequence_129,1215,45.0,27.0,0.2144,83.0,15.7,1.3,0.201,0.141,0.342,test,0.617,0.337
sequence_5,2978,104.3,28.6,0.1178,98.1,1.5,0.4,0.132,0.068,0.2,train,0.61,0.79
sequence_220,3281,109.3,30.0,0.0933,100.0,0.0,0.0,0.149,0.052,0.201,train,0.601,0.848
sequence_150,3185,106.3,30.0,0.1021,97.1,2.4,0.4,0.106,0.074,0.181,train,0.6,0.828
sequence_179,1925,112.5,17.1,0.4663,74.0,13.1,12.8,0.074,0.092,0.166,test,0.595,0.557
sequence_140,1987,78.5,25.3,0.1546,87.3,12.7,0.1,0.158,0.086,0.244,train,0.594,0.575
sequence_151,3059,109.4,28.0,0.0888,98.3,1.7,0.0,0.105,0.073,0.178,train,0.589,0.858
sequence_226,3493,116.4,30.0,0.1404,98.0,2.0,0.0,0.098,0.077,0.175,train,0.588,0.742
sequence_173,2284,97.0,23.5,0.1804,93.9,6.0,0.1,0.077,0.161,0.238,train,0.583,0.556
sequence_194,235,116.2,2.0,1.3339,0.0,49.4,50.6,0.072,0.278,0.35,test,0.581,0.331
sequence_225,3473,115.7,30.0,0.1083,98.2,1.8,0.0,0.1,0.058,0.158,train,0.57,0.814
sequence_146,2910,113.8,25.6,0.0756,98.4,1.4,0.1,0.124,0.048,0.171,train,0.569,0.876
sequence_148,2862,101.7,28.1,0.0903,98.1,1.9,0.0,0.115,0.057,0.172,train,0.566,0.836
sequence_167,2716,91.5,29.7,0.1393,95.9,4.1,0.0,0.091,0.079,0.17,test,0.559,0.706
sequence_174,557,30.3,18.4,0.3987,76.3,14.4,9.3,0.153,0.174,0.327,train,0.559,0.316
sequence_138,2377,92.5,25.7,0.1062,97.3,2.7,0.0,0.124,0.1,0.223,test,0.558,0.736
sequence_153,2555,109.6,23.3,0.1272,93.5,5.2,1.2,0.082,0.09,0.171,test,0.554,0.712
sequence_171,1859,104.2,17.8,0.2198,87.0,12.6,0.3,0.067,0.146,0.213,train,0.547,0.411
sequence_165,724,25.9,28.0,0.3774,75.7,14.4,9.9,0.178,0.09,0.268,train,0.527,0.322
sequence_175,1984,70.1,28.3,0.2283,84.4,15.6,0.0,0.056,0.096,0.152,train,0.521,0.409
sequence_21,1301,90.5,14.4,0.1168,96.6,2.2,1.2,0.18,0.142,0.322,test,0.518,0.568
sequence_186,3063,112.2,27.3,0.1136,100.0,0.0,0.0,0.018,0.097,0.115,train,0.515,0.802
sequence_206,2849,110.0,25.9,0.1061,98.9,1.0,0.1,0.074,0.046,0.12,train,0.507,0.799
sequence_170,1058,37.1,28.5,0.526,78.0,16.6,5.4,0.07,0.132,0.203,train,0.491,0.441
sequence_158,1001,34.1,29.4,0.1611,92.8,6.3,0.9,0.239,0.059,0.298,train,0.479,0.429
sequence_218,1825,62.6,29.2,0.1501,98.1,1.9,0.0,0.096,0.128,0.223,train,0.479,0.563
sequence_183,1450,58.9,24.6,0.1448,92.9,7.1,0.0,0.092,0.14,0.233,train,0.474,0.525
sequence_156,725,36.4,19.9,0.2045,87.7,7.9,4.4,0.182,0.101,0.283,train,0.462,0.294
sequence_200,1636,54.5,30.0,0.1364,100.0,0.0,0.0,0.192,0.039,0.231,train,0.449,0.569
sequence_122,1013,33.7,30.0,0.1401,95.9,2.8,1.4,0.181,0.08,0.262,train,0.425,0.478
sequence_169,855,31.7,27.0,0.2416,68.0,32.0,0.0,0.051,0.056,0.107,train,0.421,0.238
sequence_127,1181,39.9,29.6,0.1454,96.1,3.9,0.0,0.141,0.096,0.236,test,0.419,0.488
sequence_166,1083,43.2,25.1,0.282,89.2,4.2,6.6,0.127,0.053,0.179,train,0.395,0.298
sequence_219,1612,52.3,30.8,0.1508,99.8,0.2,0.0,0.098,0.079,0.177,test,0.393,0.533
sequence_116,653,43.8,14.9,0.1514,93.6,6.4,0.0,0.139,0.114,0.254,train,0.384,0.404
sequence_164,1056,35.2,30.0,0.1474,96.4,3.6,0.0,0.149,0.066,0.215,train,0.38,0.467
sequence_139,903,30.7,29.4,0.1379,93.7,3.7,2.7,0.089,0.109,0.199,test,0.362,0.468
sequence_128,1164,38.8,30.0,0.1819,97.2,2.8,0.0,0.044,0.14,0.184,test,0.358,0.404
sequence_152,818,28.9,28.3,0.1406,92.8,5.6,1.6,0.08,0.027,0.106,test,0.263,0.45
